t_ms,uclamp_max,psr,p0max,p6max,node6,cur_freq,j,shell
40,1024,1,2918400,3283200,3283200,2400000,44400,36500
400,1024,7,2918400,3283200,3283200,3283200,66800,36500
730,1024,6,2918400,3283200,3283200,3283200,57100,36500
1050,1024,6,2918400,3283200,3283200,3283200,58300,36500
1370,1024,6,2918400,3283200,3283200,3283200,58300,36500
1720,1024,6,2918400,3283200,3283200,3283200,59000,36500
2050,1024,7,2918400,3283200,3283200,3283200,71000,36500
2390,1024,7,2918400,3283200,3283200,3283200,71000,36500
2740,1024,7,2918400,3283200,3283200,3283200,71800,36500
3070,1024,7,2918400,3283200,3283200,3283200,71800,36500
3400,1024,7,2918400,3283200,3283200,3283200,72200,36500
3760,1024,7,2918400,3283200,3283200,3283200,72200,36500
4100,1024,7,2918400,3283200,3283200,3283200,72900,36500
4450,1024,7,2918400,3283200,3283200,3283200,72900,36500
4760,1024,6,2918400,3283200,3283200,3283200,61400,36500
5090,1024,6,2918400,3283200,3283200,3283200,61000,36500
5420,1024,6,2918400,3283200,3283200,3283200,61400,36500
5730,1024,6,2918400,3283200,3283200,3283200,61400,36500
6050,1024,6,2918400,3283200,3283200,3283200,61700,36500
6380,1024,6,2918400,3283200,3283200,3283200,61700,36500
6720,1024,6,2918400,3283200,3283200,3283200,61700,36500
7060,1024,6,2918400,3283200,3283200,3283200,62100,36500
7410,1024,6,2918400,3283200,3283200,3283200,61700,36500
7740,1024,7,2918400,3283200,3283200,3283200,73700,36500
8060,1024,7,2918400,3283200,3283200,3283200,74100,36600
8400,1024,7,2918400,3283200,3283200,3283200,74100,36600
8750,1024,7,2918400,3283200,3283200,3283200,74500,36600
9090,1024,6,2918400,3283200,3283200,3283200,62900,36600
9440,1024,6,2918400,3283200,3283200,3283200,62500,36600
9760,1024,7,2918400,3283200,3283200,3283200,72200,36600
10070,466,7,2918400,3283200,3283200,3283200,74900,36600
10400,466,7,2918400,3283200,3283200,3283200,74500,36600
10750,466,7,2918400,3283200,3283200,3283200,74900,36600
11090,466,7,2918400,3283200,3283200,2649600,67200,36600
11420,466,7,2918400,3283200,3283200,2649600,64800,36600
11790,466,7,2918400,3283200,3283200,2649600,65600,36600
12160,466,7,2918400,3283200,3283200,2649600,64800,36600
12520,466,7,2918400,3283200,3283200,2649600,64500,36600
12880,466,7,2918400,3283200,3283200,2649600,67200,36600
13280,466,7,2918400,3283200,3283200,2649600,64100,36600
13610,466,7,2918400,3283200,3283200,2649600,64500,36600
13980,466,7,2918400,3283200,3283200,2649600,64500,36600
14340,466,7,2918400,3283200,3283200,2649600,63700,36600
14700,466,7,2918400,3283200,3283200,3283200,64100,36600
15090,466,7,2918400,3283200,3283200,2649600,64100,36600
15440,466,7,2918400,3283200,3283200,2649600,63700,36600
15780,466,7,2918400,3283200,3283200,3283200,64500,36600
16120,466,7,2918400,3283200,3283200,2649600,64100,36600
16450,466,7,2918400,3283200,3283200,2649600,63700,36600
16800,466,7,2918400,3283200,3283200,2649600,64500,36600
17140,466,7,2918400,3283200,3283200,2649600,63700,36600
17480,466,7,2918400,3283200,3283200,2649600,64500,36600
17860,466,7,2918400,3283200,3283200,2649600,63700,36700
18220,466,7,2918400,3283200,3283200,2649600,63300,36700
18550,466,7,2918400,3283200,3283200,2649600,63300,36700
18890,466,7,2918400,3283200,3283200,2649600,63700,36700
19230,466,7,2918400,3283200,3283200,2649600,63700,36700
19570,466,7,2918400,3283200,3283200,2649600,63300,36700
19920,466,7,2918400,3283200,3283200,2649600,64800,36700
20290,466,7,2918400,3283200,3283200,2649600,63700,36700
20650,466,7,2918400,3283200,3283200,2649600,64100,36700
21010,466,7,2918400,3283200,3283200,2649600,63700,36700
21350,466,7,2918400,3283200,3283200,2649600,63300,36700
21690,466,7,2918400,3283200,3283200,2649600,63300,36700
22050,466,7,2918400,3283200,3283200,2649600,63300,36700
22400,466,7,2918400,3283200,3283200,2649600,63300,36700
22730,466,7,2918400,3283200,3283200,2649600,63700,36700
23070,466,7,2918400,3283200,3283200,2649600,63700,36700
23420,466,7,2918400,3283200,3283200,2649600,63700,36700
23770,466,7,2918400,3283200,3283200,3283200,63700,36700
24120,466,7,2918400,3283200,3283200,2649600,63700,36700
24490,466,7,2918400,3283200,3283200,2649600,63300,36700
24850,466,7,2918400,3283200,3283200,2649600,63700,36700
25200,466,7,2918400,3283200,3283200,2649600,63700,36700
25560,466,7,2918400,3283200,3283200,2649600,63300,36700
25880,466,7,2918400,3283200,3283200,2649600,64800,36700
26200,466,7,2918400,3283200,3283200,2649600,64100,36700
26540,466,7,2918400,3283200,3283200,2649600,63700,36700
26890,466,7,2918400,3283200,3283200,2649600,63700,36700
27240,466,7,2918400,3283200,3283200,2649600,63300,36700
27580,466,7,2918400,3283200,3283200,3283200,63300,36700
27960,466,7,2918400,3283200,3283200,2649600,67900,36700
28380,466,7,2918400,3283200,3283200,2649600,63300,36700
28740,466,7,2918400,3283200,3283200,2649600,63300,36700
29090,466,7,2918400,3283200,3283200,2649600,63700,36700
29440,466,7,2918400,3283200,3283200,2649600,63300,36700
29790,466,7,2918400,3283200,3283200,2649600,63300,36700
30140,466,7,2918400,3283200,3283200,2649600,63300,36700
30490,466,7,2918400,3283200,3283200,2649600,63300,36700
30830,466,7,2918400,3283200,3283200,2649600,64100,36700
31180,466,7,2918400,3283200,3283200,2649600,62900,36700
31510,466,7,2918400,3283200,3283200,2649600,63700,36700
31860,466,7,2918400,3283200,3283200,3283200,64500,36700
32220,466,7,2918400,3283200,3283200,2649600,63700,36700
32540,466,7,2918400,3283200,3283200,2649600,63300,36700
32890,466,7,2918400,3283200,3283200,2649600,64500,36800
33240,466,7,2918400,3283200,3283200,2649600,63700,36800
