t_ms,uclamp_max,psr,p0max,p6max,node6,cur_freq,j,shell
30,1024,3,2918400,3283200,3283200,1996800,45100,35900
370,1024,6,2918400,3283200,3283200,3283200,58300,35900
690,1024,6,2918400,3283200,3283200,3283200,57100,35900
1000,1024,6,2918400,3283200,3283200,3283200,57900,35900
1330,1024,6,2918400,3283200,3283200,3283200,58300,35900
1650,1024,6,2918400,3283200,3283200,3283200,58700,35900
1990,1024,6,2918400,3283200,3283200,3283200,59000,35900
2310,1024,6,2918400,3283200,3283200,3283200,59400,35900
2630,1024,6,2918400,3283200,3283200,3283200,59400,35900
2950,1024,6,2918400,3283200,3283200,3283200,59800,35900
3270,1024,7,2918400,3283200,3283200,3283200,71800,35900
3570,1024,7,2918400,3283200,3283200,3283200,72200,35900
3900,1024,7,2918400,3283200,3283200,3283200,72200,35900
4250,1024,7,2918400,3283200,3283200,3283200,72600,35900
4580,1024,7,2918400,3283200,3283200,3283200,72600,35900
4910,1024,7,2918400,3283200,3283200,3283200,72900,35900
5240,1024,7,2918400,3283200,3283200,3283200,72900,35900
5570,1024,7,2918400,3283200,3283200,3283200,72900,35900
5880,1024,7,2918400,3283200,3283200,3283200,73300,35900
6190,1024,7,2918400,3283200,3283200,3283200,72900,35900
6510,1024,7,2918400,3283200,3283200,3283200,72900,35900
6830,1024,7,2918400,3283200,3283200,3283200,72900,35900
7170,1024,7,2918400,3283200,3283200,3283200,73300,35900
7500,1024,7,2918400,3283200,3283200,3283200,73300,35900
7840,1024,7,2918400,3283200,3283200,3283200,73300,35900
8160,1024,7,2918400,3283200,3283200,3283200,73300,35900
8470,1024,7,2918400,3283200,3283200,3283200,74900,35900
8790,1024,7,2918400,3283200,3283200,3283200,74100,35900
9130,1024,7,2918400,3283200,3283200,3283200,73700,35900
9450,1024,7,2918400,3283200,3283200,3283200,74500,35900
9790,1024,7,2918400,3283200,3283200,3283200,74100,35900
10130,1024,7,2918400,3283200,3283200,3283200,73700,35900
10450,1024,7,2918400,3283200,3283200,3283200,73700,35900
10780,1024,7,2918400,3283200,3283200,3283200,74100,35900
11110,1024,7,2918400,3283200,3283200,3283200,73700,35900
11450,1024,7,2918400,3283200,3283200,3283200,74100,35900
11790,1024,7,2918400,3283200,3283200,3283200,74100,35900
12140,1024,7,2918400,3283200,3283200,3283200,74100,35900
12460,1024,7,2918400,3283200,3283200,3283200,74100,35900
12790,1024,7,2918400,3283200,3283200,3283200,74500,35900
13130,1024,7,2918400,3283200,3283200,3283200,74100,35900
13460,1024,7,2918400,3283200,3283200,3283200,74100,35900
13780,1024,7,2918400,3283200,3283200,3283200,73700,35900
14130,1024,7,2918400,3283200,3283200,3283200,74100,35900
14450,1024,7,2918400,3283200,3283200,3283200,74100,36000
14780,1024,7,2918400,3283200,3283200,3283200,74100,36000
15120,1024,7,2918400,3283200,3283200,3283200,74100,36000
15470,1024,7,2918400,3283200,3283200,3283200,74100,36000
15790,1024,7,2918400,3283200,3283200,3283200,74900,36000
16140,1024,7,2918400,3283200,3283200,3283200,74500,36000
16470,1024,7,2918400,3283200,3283200,3283200,74500,36000
16770,1024,7,2918400,3283200,3283200,3283200,74500,36000
17090,1024,7,2918400,3283200,3283200,3283200,74500,36000
17440,1024,7,2918400,3283200,3283200,3283200,74500,36000
17760,1024,7,2918400,3283200,3283200,3283200,74500,36000
18070,1024,7,2918400,3283200,3283200,3283200,74500,36000
18390,1024,7,2918400,3283200,3283200,3283200,74100,36000
18710,1024,7,2918400,3283200,3283200,3283200,74500,36000
19020,1024,6,2918400,3283200,3283200,3283200,74500,36000
19330,1024,6,2918400,3283200,3283200,3283200,62500,36000
19650,1024,6,2918400,3283200,3283200,3283200,62900,36000
19980,1024,6,2918400,3283200,3283200,3283200,62500,36000
20290,1024,6,2918400,3283200,3283200,3283200,62500,36000
20620,1024,6,2918400,3283200,3283200,3283200,62900,36000
20970,1024,6,2918400,3283200,3283200,3283200,62900,36000
21300,1024,6,2918400,3283200,3283200,3283200,62500,36000
21630,1024,6,2918400,3283200,3283200,3283200,66000,36000
21960,1024,6,2918400,3283200,3283200,3283200,63300,36000
22290,1024,6,2918400,3283200,3283200,3283200,63300,36000
22620,1024,6,2918400,3283200,3283200,3283200,62900,36000
22960,1024,6,2918400,3283200,3283200,3283200,62900,36000
23290,1024,6,2918400,3283200,3283200,3283200,62900,36000
23640,1024,6,2918400,3283200,3283200,3283200,62900,36000
23970,1024,6,2918400,3283200,3283200,3283200,62900,36000
24300,1024,6,2918400,3283200,3283200,3283200,62900,36000
24640,1024,7,2918400,3283200,3283200,3283200,75300,36000
24970,1024,7,2918400,3283200,3283200,3283200,75300,36000
25280,1024,7,2918400,3283200,3283200,3283200,75300,36000
25620,1024,7,2918400,3283200,3283200,3283200,74900,36000
25950,1024,7,2918400,3283200,3283200,3283200,74900,36000
26280,1024,7,2918400,3283200,3283200,3283200,75300,36000
26600,1024,7,2918400,3283200,3283200,3283200,75300,36000
26930,1024,7,2918400,3283200,3283200,3283200,75300,36000
27260,1024,7,2918400,3283200,3283200,3283200,75300,36000
27580,1024,7,2918400,3283200,3283200,3283200,75300,36000
27890,1024,7,2918400,3283200,3283200,3283200,75300,36000
28200,1024,7,2918400,3283200,3283200,3283200,75300,36000
28520,1024,7,2918400,3283200,3283200,3283200,75300,36000
28840,1024,7,2918400,3283200,3283200,3283200,75300,36000
