t_ms,uclamp_max,psr,p0max,p6max,node6,cur_freq,j,shell
30,1024,2,2400000,1689600,1689600,2400000,44800,36800
340,1024,2,2400000,1689600,1689600,2400000,45500,36800
640,1024,2,2400000,1689600,1689600,2400000,45900,36800
950,1024,2,2400000,1689600,1689600,2400000,46300,36800
1260,1024,2,2400000,1689600,1689600,2400000,46300,36800
1570,1024,2,2400000,1689600,1689600,2400000,46700,36800
1890,1024,2,2400000,1689600,1689600,2400000,46700,36800
2190,1024,2,2400000,1689600,1689600,2400000,46700,36800
2500,1024,2,2400000,1689600,1689600,2400000,46700,36800
2810,1024,2,2400000,1689600,1689600,2400000,46700,36800
3120,1024,2,2400000,1689600,1689600,2400000,46700,36900
3420,1024,2,2400000,1689600,1689600,2400000,46700,36900
3730,1024,2,2400000,1689600,1689600,2400000,47100,36900
4030,1024,2,2400000,1689600,1689600,2400000,47500,36900
4340,1024,2,2400000,1689600,1689600,2400000,47100,36900
4650,1024,2,2400000,1689600,1689600,2400000,47100,36900
4960,1024,2,2400000,1689600,1689600,2400000,47100,36900
5270,1024,2,2400000,1689600,1689600,2400000,47100,36900
5580,1024,2,2400000,1689600,1689600,2400000,47100,36900
5890,1024,2,2400000,1689600,1689600,2400000,47500,36900
6200,1024,2,2400000,1689600,1689600,2400000,47100,36900
6510,1024,2,2400000,1689600,1689600,2400000,47100,36900
6820,1024,2,2400000,1689600,1689600,2400000,47100,36900
7130,1024,2,2400000,1689600,1689600,2400000,47100,36900
7440,1024,2,2400000,1689600,1689600,2400000,47100,36900
7750,1024,2,2400000,1689600,1689600,2400000,47500,36900
8060,1024,2,2400000,1689600,1689600,2400000,47500,36900
8370,1024,2,2400000,1689600,1689600,2400000,47100,36900
8670,1024,2,2400000,1689600,1689600,2400000,47100,36900
8990,1024,2,2400000,1689600,1689600,2400000,47800,36900
9290,1024,2,2400000,1689600,1689600,2400000,47100,36900
9600,1024,2,2400000,1689600,1689600,2400000,47500,36900
9910,1024,2,2400000,1689600,1689600,2400000,47500,36900
10220,1024,2,2400000,1689600,1689600,2400000,47100,36900
10520,1024,2,2400000,1689600,1689600,2400000,47100,36900
10840,1024,2,2400000,1689600,1689600,2400000,47100,36900
11140,1024,2,2400000,1689600,1689600,2400000,47500,36900
11450,1024,2,2400000,1689600,1689600,2400000,47100,36900
11760,1024,2,2400000,1689600,1689600,2400000,47100,36900
12070,1024,2,2400000,1689600,1689600,2400000,47500,36900
12380,1024,2,2400000,1689600,1689600,2400000,47500,36900
12690,1024,2,2400000,1689600,1689600,2400000,47500,36900
13000,1024,2,2400000,1689600,1689600,2400000,47500,37000
13300,1024,2,2400000,1689600,1689600,2400000,47100,37000
13610,1024,2,2400000,1689600,1689600,2400000,47500,37000
13930,1024,2,2400000,1689600,1689600,2400000,47800,37000
14230,1024,2,2400000,1689600,1689600,2400000,47500,37000
14550,1024,2,2400000,1689600,1689600,2400000,47500,37000
14850,1024,2,2400000,1689600,1689600,2400000,47500,37000
15160,1024,2,2400000,1689600,1689600,2400000,47500,37000
15470,1024,2,2400000,1689600,1689600,2400000,47100,37000
15780,1024,2,2400000,1689600,1689600,2400000,47500,37000
16090,1024,2,2400000,1689600,1689600,2400000,47800,37000
16400,1024,2,2400000,1689600,1689600,2400000,47100,37000
