t_ms,uclamp_max,psr,p0max,p6max,node6,cur_freq,j,shell
40,1024,2,2918400,3283200,3283200,2400000,44800,37200
390,1024,6,2918400,3283200,3283200,3283200,56000,37200
720,1024,6,2918400,3283200,3283200,3283200,57500,37200
1040,1024,6,2918400,3283200,3283200,3283200,58300,37200
1350,1024,6,2918400,3283200,3283200,3283200,58700,37200
1680,1024,6,2918400,3283200,3283200,3283200,59400,37200
2020,1024,6,2918400,3283200,3283200,3283200,59800,37200
2340,1024,6,2918400,3283200,3283200,3283200,60200,37200
2680,1024,6,2918400,3283200,3283200,3283200,60200,37200
3010,1024,6,2918400,3283200,3283200,3283200,60200,37200
3330,1024,6,2918400,3283200,3283200,3283200,61000,37200
3650,1024,6,2918400,3283200,3283200,3283200,60600,37200
3990,1024,6,2918400,3283200,3283200,3283200,61000,37200
4340,1024,6,2918400,3283200,3283200,3283200,61000,37200
4650,1024,6,2918400,3283200,3283200,3283200,61400,37200
4970,1024,6,2918400,3283200,3283200,3283200,61400,37200
5290,1024,6,2918400,3283200,3283200,3283200,61400,37200
5610,1024,6,2918400,3283200,3283200,3283200,62100,37200
5930,1024,6,2918400,3283200,3283200,3283200,62100,37200
6240,1024,6,2918400,3283200,3283200,3283200,62100,37200
6560,1024,6,2918400,3283200,3283200,3283200,62100,37200
6890,1024,6,2918400,3283200,3283200,3283200,62500,37200
7230,1024,6,2918400,3283200,3283200,3283200,62100,37200
7570,1024,6,2918400,3283200,3283200,3283200,62500,37200
7910,1024,6,2918400,3283200,3283200,3283200,62500,37200
8210,1024,6,2918400,3283200,3283200,3283200,62500,37200
8540,1024,6,2918400,3283200,3283200,3283200,62500,37200
8890,1024,6,2918400,3283200,3283200,3283200,62500,37200
9210,1024,6,2918400,3283200,3283200,3283200,62500,37200
9540,1024,6,2918400,3283200,3283200,3283200,62500,37200
9890,1024,6,2918400,3283200,3283200,3283200,62900,37200
10210,1024,6,2918400,3283200,3283200,3283200,62900,37300
10550,1024,6,2918400,3283200,3283200,3283200,62900,37300
10890,1024,6,2918400,3283200,3283200,3283200,62900,37300
11220,1024,6,2918400,3283200,3283200,3283200,62900,37300
11550,1024,6,2918400,3283200,3283200,3283200,63300,37300
11850,1024,6,2918400,3283200,3283200,3283200,63300,37300
12160,1024,6,2918400,3283200,3283200,3283200,64100,37300
12460,1024,6,2918400,3283200,3283200,3283200,63700,37300
12790,1024,6,2918400,3283200,3283200,3283200,63300,37300
13120,1024,6,2918400,3283200,3283200,3283200,63300,37300
13420,1024,6,2918400,3283200,3283200,3283200,63300,37300
13760,1024,6,2918400,3283200,3283200,3283200,63300,37300
14080,1024,6,2918400,3283200,3283200,3283200,63300,37300
14410,1024,6,2918400,3283200,3283200,3283200,63700,37300
14760,1024,6,2918400,3283200,3283200,3283200,63300,37300
15100,1024,6,2918400,3283200,3283200,3283200,63300,37300
15440,1024,6,2918400,3283200,3283200,3283200,63300,37300
15760,1024,6,2918400,3283200,3283200,3283200,63700,37300
16100,1024,6,2918400,3283200,3283200,3283200,63700,37300
16420,1024,6,2918400,3283200,3283200,3283200,63700,37300
16750,1024,6,2918400,3283200,3283200,3283200,63700,37300
17070,1024,6,2918400,3283200,3283200,3283200,63700,37300
17390,1024,6,2918400,3283200,3283200,3283200,63700,37300
17730,1024,6,2918400,3283200,3283200,3283200,64100,37300
18060,1024,6,2918400,3283200,3283200,3283200,64100,37300
18370,1024,6,2918400,3283200,3283200,3283200,63700,37300
18690,1024,7,2918400,3283200,3283200,3283200,74900,37300
19020,1024,7,2918400,3283200,3283200,3283200,76400,37300
19370,1024,7,2918400,3283200,3283200,3283200,76000,37300
19700,1024,7,2918400,3283200,3283200,3283200,76000,37300
20010,1024,7,2918400,3283200,3283200,3283200,76400,37300
20330,1024,7,2918400,3283200,3283200,3283200,76000,37300
20640,1024,7,2918400,3283200,3283200,3283200,76400,37300
20960,1024,7,2918400,3283200,3283200,3283200,79900,37300
21260,1024,7,2918400,3283200,3283200,3283200,77600,37300
21600,1024,7,2918400,3283200,3283200,3283200,76800,37300
21930,1024,7,2918400,3283200,3283200,3283200,76800,37300
22260,1024,7,2918400,3283200,3283200,3283200,76800,37300
22580,1024,7,2918400,3283200,3283200,3283200,76800,37300
22900,1024,7,2918400,3283200,3283200,3283200,76800,37300
23240,1024,7,2918400,3283200,3283200,3283200,76400,37300
23560,1024,7,2918400,3283200,3283200,3283200,76800,37300
23900,1024,7,2918400,3283200,3283200,3283200,76800,37300
24220,1024,7,2918400,3283200,3283200,3283200,76800,37300
24530,1024,7,2918400,3283200,3283200,3283200,76800,37300
24840,1024,7,2918400,3283200,3283200,3283200,77200,37300
25170,1024,7,2918400,3283200,3283200,3283200,76800,37300
25520,1024,7,2918400,3283200,3283200,3283200,77200,37300
25840,1024,7,2918400,3283200,3283200,3283200,76800,37300
26170,1024,7,2918400,3283200,3283200,3283200,76800,37300
26480,1024,7,2918400,3283200,3283200,3283200,78400,37300
26800,1024,7,2918400,3283200,3283200,3283200,76800,37300
27110,1024,7,2918400,3283200,3283200,3283200,77200,37300
27440,1024,6,2918400,3283200,3283200,3283200,65600,37300
27780,1024,6,2918400,3283200,3283200,3283200,65200,37300
28100,1024,6,2918400,3283200,3283200,3283200,64800,37300
28410,1024,6,2918400,3283200,3283200,3283200,64800,37300
28740,1024,6,2918400,3283200,3283200,3283200,64800,37300
