# started 2026-09-21 14:35:43  level/status: level=3 held=yes cfb=0 prime=3513600 junc=34C left=常开 pids=12628 21522 26316 8945 
# p6max=3513600 p0max=3532800 cfb=0
# node=0:3532800 1:3532800 2:3532800 3:3532800 4:3532800 5:3532800 6:3513600 7:3513600 
ts|c0|c1|c2|c3|c4|c5|c6|c7|p0max|p6max|junc|shell|cfb|cool
1789994173|2400000|2400000|1785600|1785600|1996800|1996800|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994173|2400000|2400000|2400000|2400000|2400000|1785600|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994174|2918400|2745600|3072000|2400000|3072000|2400000|1017600|1017600|3532800|3513600|33200|25500|0|no
1789994175|960000|2400000|2400000|1785600|1785600|1785600|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994175|3072000|3072000|3072000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|32800|25500|0|no
1789994176|2400000|2400000|2400000|2400000|2400000|1996800|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994177|3072000|2745600|2745600|3072000|3072000|3072000|1017600|1017600|3532800|3513600|32800|25500|0|no
1789994177|2745600|2400000|1785600|1785600|1555200|1555200|1017600|1017600|3532800|3513600|32000|25500|0|no
1789994178|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994178|2400000|2400000|2400000|2400000|2227200|2227200|1017600|1017600|3532800|3513600|32400|25500|0|no
1789994179|1555200|1555200|2745600|2745600|2400000|3072000|3513600|3513600|3532800|3513600|40900|25500|0|no
1789994180|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|41300|25500|0|no
1789994180|3072000|3072000|3072000|3072000|2745600|2745600|3513600|3513600|3532800|3513600|41700|25500|0|no
1789994181|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|57100|25500|0|no
1789994181|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|47500|25500|0|no
1789994182|3072000|3072000|3072000|3072000|2918400|2918400|3513600|3513600|3532800|3513600|50500|25500|0|no
1789994183|3072000|3072000|3072000|3072000|3072000|3072000|3801600|3801600|3072000|3801600|70200|25500|0|no
1789994183|3072000|3072000|3072000|3072000|3072000|3072000|3801600|3801600|3532800|4320000|78700|25500|0|no
1789994184|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|71800|25500|0|no
1789994185|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|71800|25500|0|no
1789994185|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|76000|25500|0|no
1789994186|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|71000|25500|0|no
1789994186|3072000|3072000|3072000|3072000|3072000|3072000|3801600|3801600|3532800|4320000|81100|25500|0|no
1789994187|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|62500|25500|0|no
1789994187|3072000|3072000|3072000|3072000|3072000|3072000|1017600|1017600|3532800|3513600|47100|25500|0|no
1789994188|3072000|3072000|3072000|3072000|3072000|3072000|1017600|1017600|3532800|3513600|45900|25500|0|no
1789994189|2745600|3072000|3072000|2745600|3072000|3072000|1017600|1017600|3532800|3513600|44400|25500|0|no
1789994189|2400000|2400000|2400000|2227200|2227200|2227200|1017600|1017600|3532800|3513600|42000|25500|0|no
1789994190|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|39700|25500|0|no
1789994190|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|39300|25500|0|no
1789994191|2400000|2400000|2400000|2400000|2400000|1996800|1017600|1017600|3532800|3513600|38200|25500|0|no
1789994192|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|37800|25500|0|no
1789994192|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|48200|25500|0|no
1789994193|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|49400|25500|0|no
1789994193|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|49800|25500|0|no
1789994194|2745600|2745600|3072000|3072000|3072000|3072000|3801600|3801600|3532800|4320000|52500|25500|0|no
1789994195|3072000|3072000|2227200|2227200|2745600|3072000|3513600|3513600|3532800|3513600|59800|25500|0|no
1789994195|3072000|2400000|2745600|3072000|3072000|3072000|3513600|3513600|3532800|3513600|61700|25500|0|no
1789994196|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|50500|25500|0|no
1789994196|3072000|2918400|2745600|2745600|3072000|3072000|3513600|3513600|3532800|3513600|51300|25500|0|no
1789994197|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|50500|25500|0|no
1789994198|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|51300|25600|0|no
