# started 2026-09-21 14:48:29  level/status: level=3 held=yes cfb=0 prime=3513600 junc=31C left=常开 pids=12628 13501 26316 8945 
# p6max=3513600 p0max=3532800 cfb=0
# node=0:3532800 1:3532800 2:3532800 3:3532800 4:3532800 5:3532800 6:3513600 7:3513600 
ts|c0|c1|c2|c3|c4|c5|c6|c7|p0max|p6max|junc|shell|cfb|cool
1789994909|2400000|2400000|2400000|2227200|2745600|2745600|3513600|3513600|3532800|3513600|38600|23700|0|no
1789994909|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|33900|23700|0|no
1789994910|2400000|2227200|1996800|2400000|2400000|2227200|1017600|1017600|3532800|3513600|31600|23700|0|no
1789994910|3072000|3072000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|32400|23700|0|no
1789994910|2400000|2227200|2400000|2400000|2227200|2227200|1017600|1017600|3532800|3513600|32800|23700|0|no
1789994910|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|32800|23700|0|no
1789994911|2400000|2400000|3072000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|31600|23700|0|no
1789994911|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|32400|23700|0|no
1789994912|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|31600|23700|0|no
1789994912|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|32000|23700|0|no
1789994912|2400000|2400000|2400000|3072000|2400000|2745600|1017600|1017600|3532800|3513600|31600|23700|0|no
1789994912|2745600|3072000|3072000|3072000|3072000|2745600|1017600|1017600|3532800|3513600|32400|23700|0|no
1789994913|2745600|2745600|1996800|3072000|3072000|3072000|3513600|3513600|3532800|3513600|39700|23700|0|no
1789994913|3072000|3072000|3072000|3072000|3072000|2918400|3513600|3513600|3532800|3513600|40100|23700|0|no
1789994913|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|40500|23700|0|no
1789994913|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|40100|23700|0|no
1789994914|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|55200|23700|0|no
1789994914|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|56000|23700|0|no
1789994915|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|56000|23700|0|no
1789994915|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|55600|23700|0|no
1789994915|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|50900|23700|0|no
1789994915|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|50900|23700|0|no
1789994916|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|57100|23700|0|no
1789994916|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|57100|23700|0|no
1789994916|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|57100|23700|0|no
1789994916|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|57100|23700|0|no
1789994917|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|53200|23700|0|no
1789994917|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|53200|23700|0|no
1789994918|3072000|3072000|3072000|3072000|3072000|3072000|3801600|3801600|3532800|4320000|51700|23700|0|no
1789994918|3072000|3072000|3072000|3072000|3072000|3072000|3801600|3801600|3532800|4320000|51700|23700|0|no
1789994918|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|52100|23700|0|no
1789994918|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|52100|23700|0|no
1789994919|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|51300|23700|0|no
1789994919|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|51300|23700|0|no
1789994919|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|52500|23700|0|no
1789994919|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|52500|23700|0|no
1789994920|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|51300|23700|0|no
1789994920|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|51300|23700|0|no
1789994920|3072000|3072000|3072000|3072000|3072000|3072000|1017600|1017600|3532800|3513600|41300|23700|0|no
1789994920|3072000|3072000|3072000|3072000|3072000|3072000|1017600|1017600|3532800|3513600|41300|23700|0|no
1789994921|3072000|3072000|3072000|3072000|3072000|3072000|1017600|1017600|3532800|3513600|37800|23700|0|no
1789994921|3072000|3072000|3072000|3072000|3072000|3072000|1017600|1017600|3532800|3513600|37800|23700|0|no
1789994922|2400000|2400000|3072000|2400000|2745600|3072000|1017600|3513600|3532800|3513600|37000|23700|0|no
1789994922|2400000|2400000|3072000|2400000|2745600|3072000|1017600|3513600|3532800|3513600|37000|23700|0|no
1789994922|2400000|2227200|2227200|2400000|2400000|2400000|1017600|1017600|3532800|3513600|35100|23700|0|no
1789994922|2400000|2227200|2227200|2400000|2400000|2400000|1017600|1017600|3532800|3513600|35100|23700|0|no
1789994923|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|34300|23700|0|no
1789994923|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|34300|23700|0|no
1789994924|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|33900|23700|0|no
1789994924|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|33600|23700|0|no
1789994924|2400000|3072000|3072000|2745600|3072000|3072000|1017600|1017600|3532800|3513600|33600|23700|0|no
1789994924|2400000|3072000|3072000|2400000|3072000|3072000|1017600|1017600|3532800|3513600|33900|23700|0|no
1789994925|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|33200|23700|0|no
1789994925|2400000|2400000|2400000|2400000|2400000|2400000|1017600|1017600|3532800|3513600|32800|23700|0|no
1789994925|2400000|2400000|2400000|2400000|2745600|2745600|3513600|3513600|3532800|3513600|40500|23700|0|no
1789994925|2400000|2400000|2400000|2400000|2745600|2745600|3513600|3513600|3532800|3513600|40500|23700|0|no
1789994926|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|44800|23700|0|no
1789994926|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|44800|23700|0|no
1789994927|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|53200|23700|0|no
1789994927|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|53200|23700|0|no
1789994927|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|54400|23700|0|no
1789994927|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|54400|23700|0|no
1789994928|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|46700|23600|0|no
1789994928|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|46700|23600|0|no
1789994928|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|47100|23600|0|no
1789994928|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|47100|23600|0|no
1789994929|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|46700|23600|0|no
1789994929|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|46700|23600|0|no
1789994930|3072000|3072000|2918400|2918400|2918400|2745600|3513600|3513600|3532800|3513600|46700|23600|0|no
1789994930|3072000|3072000|2918400|2918400|2918400|2745600|3513600|3513600|3532800|3513600|46700|23600|0|no
1789994930|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|48200|23600|0|no
1789994930|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|48200|23600|0|no
1789994931|1555200|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|48200|23600|0|no
1789994931|1555200|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|47800|23600|0|no
1789994931|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|47500|23600|0|no
1789994931|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|47800|23600|0|no
1789994932|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|48600|23600|0|no
1789994932|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|48200|23600|0|no
1789994933|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|61000|23600|0|no
1789994933|3072000|3072000|3072000|3072000|3072000|3072000|3513600|3513600|3532800|3513600|61000|23600|0|no
