# scheduler-event-tracer
# label=continuous burst=2000
# tid=23454 comm=w-continuous alive_at_end=yes
# duration_s=10 uptime_start=165344.39 760848.14 uptime_end=165354.41 760912.04
# trace_clock=global buffer_size_kb_per_cpu=4099 instance=s2a
# events=sched/sched_waking,sched/sched_wakeup,sched/sched_wakeup_new,sched/sched_switch,sched/sched_migrate_task,sched/sched_stat_wait,sched/sched_process_exit,schedwalt/sched_task_util,schedwalt/sched_enq_deq_task,schedwalt/sched_find_best_target,sched_assist/set_ux_task_to_prefer_cpu,frame_boost/find_frame_boost_cpu,
# filter=pid==23454 (sched_switch: prev_pid||next_pid)
# entries=102 overrun=0 commit_overrun=0 dropped=0
#
# cpu0 entries=12 overrun=0 commit_overrun=0 dropped=0
# cpu1 entries=45 overrun=0 commit_overrun=0 dropped=0
# cpu2 entries=0 overrun=0 commit_overrun=0 dropped=0
# cpu3 entries=0 overrun=0 commit_overrun=0 dropped=0
# cpu4 entries=24 overrun=0 commit_overrun=0 dropped=0
# cpu5 entries=21 overrun=0 commit_overrun=0 dropped=0
# cpu6 entries=0 overrun=0 commit_overrun=0 dropped=0
# cpu7 entries=0 overrun=0 commit_overrun=0 dropped=0
# loss=none
# tracer: nop
#
# entries-in-buffer/entries-written: 102/102   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
       uclampset-23953   [001] d..2. 116026.326384: sched_stat_wait: comm=w-continuous pid=23454 delay=0 [ns]
       uclampset-23961   [001] d..2. 116026.626330: sched_enq_deq_task: cpu=7 dequeue comm=w-continuous pid=23454 prio=120 nr_running=1 rt_nr_running=0 affine=ff demand=7999488 pred_demand_scaled=779 is_compat_t=0 mvp=0 misfit=0
       uclampset-23961   [001] d..2. 116026.626336: sched_enq_deq_task: cpu=7 enqueue comm=w-continuous pid=23454 prio=120 nr_running=0 rt_nr_running=0 affine=ff demand=7999488 pred_demand_scaled=779 is_compat_t=0 mvp=0 misfit=0
       uclampset-23961   [001] d..2. 116026.626339: sched_stat_wait: comm=w-continuous pid=23454 delay=0 [ns]
       uclampset-23983   [001] d..2. 116026.924212: sched_enq_deq_task: cpu=7 dequeue comm=w-continuous pid=23454 prio=120 nr_running=1 rt_nr_running=0 affine=ff demand=7999488 pred_demand_scaled=779 is_compat_t=0 mvp=0 misfit=0
       uclampset-23983   [001] d..2. 116026.924217: sched_enq_deq_task: cpu=7 enqueue comm=w-continuous pid=23454 prio=120 nr_running=0 rt_nr_running=0 affine=ff demand=7999488 pred_demand_scaled=779 is_compat_t=0 mvp=0 misfit=0
       uclampset-23983   [001] d..2. 116026.924218: sched_stat_wait: comm=w-continuous pid=23454 delay=0 [ns]
       uclampset-23995   [004] d..2. 116027.218861: sched_enq_deq_task: cpu=7 dequeue comm=w-continuous pid=23454 prio=120 nr_running=1 rt_nr_running=0 affine=ff demand=7999488 pred_demand_scaled=780 is_compat_t=0 mvp=0 misfit=0
       uclampset-23995   [004] d..2. 116027.218869: sched_enq_deq_task: cpu=7 enqueue comm=w-continuous pid=23454 prio=120 nr_running=0 rt_nr_running=0 affine=ff demand=7999488 pred_demand_scaled=780 is_compat_t=0 mvp=0 misfit=0
       uclampset-23995   [004] d..2. 116027.218872: sched_stat_wait: comm=w-continuous pid=23454 delay=0 [ns]
