# scheduler-event-tracer
# label=T2 correct filter
# tid=31055 comm=w-wake comm_glob= alive_at_end=yes
# duration_s=3 uptime_start=165869.72 764556.76 uptime_end=165872.73 764577.39
# trace_clock=global buffer_size_kb_per_cpu=4099 instance=s2a
# events=sched/sched_waking,sched/sched_wakeup,sched/sched_wakeup_new,sched/sched_switch,sched/sched_migrate_task,sched/sched_stat_wait,sched/sched_process_exit,schedwalt/sched_task_util,schedwalt/sched_enq_deq_task,schedwalt/sched_find_best_target,sched_assist/set_ux_task_to_prefer_cpu,frame_boost/find_frame_boost_cpu,
# filter=pid==31055 (sched_switch: prev_pid||next_pid)
# entries=1052 overrun=0 commit_overrun=0 dropped=0
#
# cpu0 entries=158 overrun=0 commit_overrun=0 dropped=0
# cpu1 entries=473 overrun=0 commit_overrun=0 dropped=0
# cpu2 entries=0 overrun=0 commit_overrun=0 dropped=0
# cpu3 entries=0 overrun=0 commit_overrun=0 dropped=0
# cpu4 entries=242 overrun=0 commit_overrun=0 dropped=0
# cpu5 entries=160 overrun=0 commit_overrun=0 dropped=0
# cpu6 entries=19 overrun=0 commit_overrun=0 dropped=0
# cpu7 entries=0 overrun=0 commit_overrun=0 dropped=0
# loss=none
# tracer: nop
#
# entries-in-buffer/entries-written: 1052/1052   #P:8
#
#                                _-----=> irqs-off/BH-disabled
#                               / _----=> need-resched
#                              | / _---=> hardirq/softirq
#                              || / _--=> preempt-depth
#                              ||| / _-=> migrate-disable
#                              |||| /     delay
#           TASK-PID     CPU#  |||||  TIMESTAMP  FUNCTION
#              | |         |   |||||     |         |
          <idle>-0       [001] d..2. 116549.417160: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=w-wake next_pid=31055 next_prio=120
          w-wake-31055   [001] d..2. 116549.436702: sched_switch: prev_comm=w-wake prev_pid=31055 prev_prio=120 prev_state=R ==> next_comm=app-3927 next_pid=3927 next_prio=116
        app-3927-3927    [001] d..2. 116549.436744: sched_stat_wait: comm=w-wake pid=31055 delay=52187 [ns]
        app-3927-3927    [001] d..2. 116549.436750: sched_switch: prev_comm=app-3927 prev_pid=3927 prev_prio=116 prev_state=S ==> next_comm=w-wake next_pid=31055 next_prio=120
          w-wake-31055   [001] d..2. 116549.436818: sched_switch: prev_comm=w-wake prev_pid=31055 prev_prio=120 prev_state=R ==> next_comm=app-3927 next_pid=3927 next_prio=116
          app-4646-4646    [001] d..2. 116549.437180: sched_stat_wait: comm=w-wake pid=31055 delay=370729 [ns]
          app-4646-4646    [001] d..2. 116549.437186: sched_switch: prev_comm=app-4646 prev_pid=4646 prev_prio=120 prev_state=S ==> next_comm=w-wake next_pid=31055 next_prio=120
          w-wake-31055   [001] d..2. 116549.437756: sched_switch: prev_comm=w-wake prev_pid=31055 prev_prio=120 prev_state=R ==> next_comm=app-5364 next_pid=5364 next_prio=116
            app-1242-1242    [001] d..2. 116549.437899: sched_stat_wait: comm=w-wake pid=31055 delay=153750 [ns]
            app-1242-1242    [001] d..2. 116549.437905: sched_switch: prev_comm=app-1242 prev_pid=1242 prev_prio=130 prev_state=S ==> next_comm=w-wake next_pid=31055 next_prio=120
          w-wake-31055   [001] d..2. 116549.439479: sched_enq_deq_task: cpu=1 dequeue comm=w-wake pid=31055 prio=120 nr_running=1 rt_nr_running=0 affine=ff demand=1321627 pred_demand_scaled=169 is_compat_t=0 mvp=0 misfit=0
          w-wake-31055   [001] d..2. 116549.439488: sched_switch: prev_comm=w-wake prev_pid=31055 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
          <idle>-0       [001] d.h3. 116549.459534: sched_waking: comm=w-wake pid=31055 prio=120 target_cpu=001
          <idle>-0       [001] d.h3. 116549.459540: sched_find_best_target: pid=31055 comm=w-wake start_cpu=0 candidates=0x2 most_spare_cap=-1 order_index=0 end_index=0 skip=-1 running=0 min_util=186 spare_rq_cpu=-1 min_runnable=4294967295
          <idle>-0       [001] d.h3. 116549.459541: sched_task_util: pid=31055 comm=w-wake util=186 prev_cpu=1 candidates=0x2 best_energy_cpu=1 sync=0 need_idle=0 fastpath=2 placement_boost=0 latency=1927 stune_boosted=0 is_rtg=0 rtg_skip_min=0 start_cpu=0 unfilter=100000000 affinity=ff task_boost=0 low_latency=0 iowaited=0 load_boost=0 sync_state=1 pipeline_cpu=-1 yield_cnt=0
          <idle>-0       [001] d.h4. 116549.459544: sched_enq_deq_task: cpu=1 enqueue comm=w-wake pid=31055 prio=120 nr_running=0 rt_nr_running=0 affine=ff demand=1456508 pred_demand_scaled=186 is_compat_t=0 mvp=0 misfit=0
          <idle>-0       [001] dNh4. 116549.459548: sched_wakeup: comm=w-wake pid=31055 prio=120 target_cpu=001
          <idle>-0       [001] dN.2. 116549.459559: sched_stat_wait: comm=w-wake pid=31055 delay=0 [ns]
          <idle>-0       [001] d..2. 116549.459563: sched_switch: prev_comm=swapper/1 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=w-wake next_pid=31055 next_prio=120
          w-wake-31055   [001] d..2. 116549.467871: sched_switch: prev_comm=w-wake prev_pid=31055 prev_prio=120 prev_state=R ==> next_comm=kworker/1:3 next_pid=13241 next_prio=120
     kworker/1:3-13241   [001] d..2. 116549.467879: sched_stat_wait: comm=w-wake pid=31055 delay=31093 [ns]
     kworker/1:3-13241   [001] d..2. 116549.467885: sched_switch: prev_comm=kworker/1:3 prev_pid=13241 prev_prio=120 prev_state=I ==> next_comm=w-wake next_pid=31055 next_prio=120
          w-wake-31055   [001] d..2. 116549.471068: sched_enq_deq_task: cpu=1 dequeue comm=w-wake pid=31055 prio=120 nr_running=1 rt_nr_running=0 affine=ff demand=1999695 pred_demand_scaled=255 is_compat_t=0 mvp=0 misfit=0
          w-wake-31055   [001] d..2. 116549.471075: sched_switch: prev_comm=w-wake prev_pid=31055 prev_prio=120 prev_state=S ==> next_comm=swapper/1 next_pid=0 next_prio=120
        app-17700-17700   [001] d.h2. 116549.491125: sched_waking: comm=w-wake pid=31055 prio=120 target_cpu=001
        app-17700-17700   [001] d.h2. 116549.491137: sched_find_best_target: pid=31055 comm=w-wake start_cpu=0 candidates=0x20 most_spare_cap=3 order_index=0 end_index=0 skip=-1 running=0 min_util=219 spare_rq_cpu=3 min_runnable=0
        app-17700-17700   [001] d.h2. 116549.491139: sched_task_util: pid=31055 comm=w-wake util=219 prev_cpu=1 candidates=0x20 best_energy_cpu=5 sync=0 need_idle=0 fastpath=0 placement_boost=0 latency=5260 stune_boosted=0 is_rtg=0 rtg_skip_min=0 start_cpu=0 unfilter=100000000 affinity=ff task_boost=0 low_latency=0 iowaited=0 load_boost=0 sync_state=1 pipeline_cpu=-1 yield_cnt=0
        app-17700-17700   [001] d.h2. 116549.491141: sched_migrate_task: comm=w-wake pid=31055 prio=120 orig_cpu=1 dest_cpu=5
        app-17700-17700   [001] d.h3. 116549.491172: sched_enq_deq_task: cpu=5 enqueue comm=w-wake pid=31055 prio=120 nr_running=0 rt_nr_running=0 affine=ff demand=1714703 pred_demand_scaled=255 is_compat_t=0 mvp=0 misfit=0
        app-17700-17700   [001] d.h3. 116549.491184: sched_wakeup: comm=w-wake pid=31055 prio=120 target_cpu=005
          <idle>-0       [005] dN.2. 116549.491293: sched_stat_wait: comm=w-wake pid=31055 delay=0 [ns]
          <idle>-0       [005] d..2. 116549.491301: sched_switch: prev_comm=swapper/5 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=w-wake next_pid=31055 next_prio=120
          w-wake-31055   [005] d..2. 116549.505268: sched_enq_deq_task: cpu=5 dequeue comm=w-wake pid=31055 prio=120 nr_running=1 rt_nr_running=0 affine=ff demand=1704515 pred_demand_scaled=255 is_compat_t=0 mvp=0 misfit=0
          w-wake-31055   [005] d..2. 116549.505279: sched_switch: prev_comm=w-wake prev_pid=31055 prev_prio=120 prev_state=S ==> next_comm=swapper/5 next_pid=0 next_prio=120
          <idle>-0       [005] d.h3. 116549.525424: sched_waking: comm=w-wake pid=31055 prio=120 target_cpu=005
          <idle>-0       [005] d.h3. 116549.525438: sched_find_best_target: pid=31055 comm=w-wake start_cpu=0 candidates=0x20 most_spare_cap=-1 order_index=0 end_index=0 skip=-1 running=0 min_util=240 spare_rq_cpu=-1 min_runnable=4294967295
          <idle>-0       [005] d.h3. 116549.525441: sched_task_util: pid=31055 comm=w-wake util=240 prev_cpu=5 candidates=0x20 best_energy_cpu=5 sync=0 need_idle=0 fastpath=2 placement_boost=0 latency=6459 stune_boosted=0 is_rtg=0 rtg_skip_min=0 start_cpu=0 unfilter=100000000 affinity=ff task_boost=0 low_latency=0 iowaited=0 load_boost=0 sync_state=1 pipeline_cpu=-1 yield_cnt=0
          <idle>-0       [005] d.h4. 116549.525471: sched_enq_deq_task: cpu=5 enqueue comm=w-wake pid=31055 prio=120 nr_running=0 rt_nr_running=0 affine=ff demand=1876528 pred_demand_scaled=255 is_compat_t=0 mvp=0 misfit=0
          <idle>-0       [005] dNh4. 116549.525483: sched_wakeup: comm=w-wake pid=31055 prio=120 target_cpu=005
          <idle>-0       [005] dN.2. 116549.525508: sched_stat_wait: comm=w-wake pid=31055 delay=0 [ns]
          <idle>-0       [005] d..2. 116549.525517: sched_switch: prev_comm=swapper/5 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=w-wake next_pid=31055 next_prio=120
          w-wake-31055   [005] d..2. 116549.536379: sched_enq_deq_task: cpu=5 dequeue comm=w-wake pid=31055 prio=120 nr_running=1 rt_nr_running=0 affine=ff demand=2113684 pred_demand_scaled=270 is_compat_t=0 mvp=0 misfit=0
          w-wake-31055   [005] d..2. 116549.536391: sched_switch: prev_comm=w-wake prev_pid=31055 prev_prio=120 prev_state=S ==> next_comm=swapper/5 next_pid=0 next_prio=120
                   app-31134-31134   [005] d.h2. 116549.556431: sched_waking: comm=w-wake pid=31055 prio=120 target_cpu=005
                   app-31134-31134   [005] d.h2. 116549.556442: sched_find_best_target: pid=31055 comm=w-wake start_cpu=0 candidates=0x10 most_spare_cap=4 order_index=0 end_index=0 skip=-1 running=0 min_util=203 spare_rq_cpu=4 min_runnable=1
                   app-31134-31134   [005] d.h2. 116549.556443: sched_task_util: pid=31055 comm=w-wake util=203 prev_cpu=5 candidates=0x10 best_energy_cpu=4 sync=0 need_idle=0 fastpath=0 placement_boost=0 latency=1614 stune_boosted=0 is_rtg=0 rtg_skip_min=0 start_cpu=0 unfilter=100000000 affinity=ff task_boost=0 low_latency=0 iowaited=0 load_boost=0 sync_state=1 pipeline_cpu=-1 yield_cnt=0
                   app-31134-31134   [005] d.h2. 116549.556443: sched_migrate_task: comm=w-wake pid=31055 prio=120 orig_cpu=5 dest_cpu=4
                   app-31134-31134   [005] d.h3. 116549.556451: sched_enq_deq_task: cpu=4 enqueue comm=w-wake pid=31055 prio=120 nr_running=1 rt_nr_running=0 affine=ff demand=1593580 pred_demand_scaled=203 is_compat_t=0 mvp=0 misfit=0
                   app-31134-31134   [005] d.h3. 116549.556462: sched_wakeup: comm=w-wake pid=31055 prio=120 target_cpu=004
        app-17700-17700   [004] dN.2. 116549.556477: sched_stat_wait: comm=w-wake pid=31055 delay=0 [ns]
        app-17700-17700   [004] d..2. 116549.556493: sched_switch: prev_comm=app-17700 prev_pid=17700 prev_prio=116 prev_state=R ==> next_comm=w-wake next_pid=31055 next_prio=120
          w-wake-31055   [004] d..2. 116549.561060: sched_switch: prev_comm=w-wake prev_pid=31055 prev_prio=120 prev_state=R ==> next_comm=app-30777 next_pid=30777 next_prio=110
           app-30777-30777   [004] d..2. 116549.561080: sched_stat_wait: comm=w-wake pid=31055 delay=26614 [ns]
           app-30777-30777   [004] d..2. 116549.561084: sched_switch: prev_comm=app-30777 prev_pid=30777 prev_prio=110 prev_state=S ==> next_comm=w-wake next_pid=31055 next_prio=120
          w-wake-31055   [004] d..2. 116549.563685: sched_enq_deq_task: cpu=4 dequeue comm=w-wake pid=31055 prio=120 nr_running=1 rt_nr_running=0 affine=ff demand=1593580 pred_demand_scaled=321 is_compat_t=0 mvp=0 misfit=0
          w-wake-31055   [004] d..2. 116549.563690: sched_switch: prev_comm=w-wake prev_pid=31055 prev_prio=120 prev_state=S ==> next_comm=swapper/4 next_pid=0 next_prio=120
          <idle>-0       [004] d.h3. 116549.583735: sched_waking: comm=w-wake pid=31055 prio=120 target_cpu=004
          <idle>-0       [004] d.h3. 116549.583738: sched_find_best_target: pid=31055 comm=w-wake start_cpu=6 candidates=0x40 most_spare_cap=6 order_index=1 end_index=0 skip=-1 running=0 min_util=524 spare_rq_cpu=6 min_runnable=0
          <idle>-0       [004] d.h3. 116549.583739: sched_task_util: pid=31055 comm=w-wake util=524 prev_cpu=4 candidates=0x40 best_energy_cpu=6 sync=0 need_idle=0 fastpath=0 placement_boost=0 latency=990 stune_boosted=0 is_rtg=0 rtg_skip_min=0 start_cpu=6 unfilter=100000000 affinity=ff task_boost=0 low_latency=0 iowaited=0 load_boost=0 sync_state=1 pipeline_cpu=-1 yield_cnt=0
          <idle>-0       [004] d.h3. 116549.583739: sched_migrate_task: comm=w-wake pid=31055 prio=120 orig_cpu=4 dest_cpu=6
          <idle>-0       [004] d.h4. 116549.583751: sched_enq_deq_task: cpu=6 enqueue comm=w-wake pid=31055 prio=120 nr_running=0 rt_nr_running=0 affine=ff demand=4099845 pred_demand_scaled=524 is_compat_t=0 mvp=0 misfit=0
          <idle>-0       [004] d.h4. 116549.583754: sched_wakeup: comm=w-wake pid=31055 prio=120 target_cpu=006
          <idle>-0       [006] dN.2. 116549.583901: sched_stat_wait: comm=w-wake pid=31055 delay=78854 [ns]
          <idle>-0       [006] d..2. 116549.583923: sched_switch: prev_comm=swapper/6 prev_pid=0 prev_prio=120 prev_state=R ==> next_comm=w-wake next_pid=31055 next_prio=120
          w-wake-31055   [006] d..2. 116549.587781: sched_enq_deq_task: cpu=6 dequeue comm=w-wake pid=31055 prio=120 nr_running=1 rt_nr_running=0 affine=ff demand=4099845 pred_demand_scaled=524 is_compat_t=0 mvp=0 misfit=0
          w-wake-31055   [006] d..2. 116549.587798: sched_switch: prev_comm=w-wake prev_pid=31055 prev_prio=120 prev_state=S ==> next_comm=swapper/6 next_pid=0 next_prio=120
