run_id,block,order,arm,label
b01-r1,1,1,A,level1-2841600-2400000
b01-r2,1,2,B,level2-3283200-2918400
b01-r3,1,3,B,level2-3283200-2918400
b01-r4,1,4,A,level1-2841600-2400000
b02-r1,2,5,B,level2-3283200-2918400
b02-r2,2,6,A,level1-2841600-2400000
b02-r3,2,7,A,level1-2841600-2400000
b02-r4,2,8,B,level2-3283200-2918400
