timestamp,uptime,cpu0_freq,cpu1_freq,cpu2_freq,cpu3_freq,cpu4_freq,cpu5_freq,cpu6_freq,cpu7_freq,cpu0_util,cpu1_util,cpu2_util,cpu3_util,cpu4_util,cpu5_util,cpu6_util,cpu7_util,cpu0_max_freq,cpu1_max_freq,cpu2_max_freq,cpu3_max_freq,cpu4_max_freq,cpu5_max_freq,cpu6_max_freq,cpu7_max_freq,policy0_min_freq,policy0_max_freq,policy6_min_freq,policy6_max_freq,geekbench_pid,gb_main_tid,gb_main_thread_name,gb_main_thread_cpu,gb_main_thread_util,gb_main_thread_util_est,gb_main_thread_jiffies,gb_running_threads,gb_running_cpus,gb_nr_migrations,gb_cpuset,gb_cpus_allowed,gb_thread_cpuset,gb_thread_cpus_allowed,gb_uclamp_min,gb_uclamp_max,gb_uclamp_eff_min,gb_uclamp_eff_max,cpu_temp,cpu6_temp,cpu7_temp,cpuss0_temp,soc_temp,gpu_temp,skin_temp,battery_temp,thermal_status,thermal_status_name,cdev_cpu_cluster0,cdev_cpu_cluster1,cdev_ddr,cdev_pause_cpu6,cdev_pause_cpu7,gameopt_cpu6_max,gameopt_cpu7_max,gameopt_game_pid,gameopt_dsu_freq,gameopt_fake_cpu7_max
1786636115.695,250954.84,556800,556800,556800,556800,556800,556800,1017600,1017600,51.6,40.0,3.4,6.7,32.3,32.1,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.8,37.8,37.8,40.1,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636115.961,250955.11,556800,556800,556800,556800,556800,556800,1017600,1017600,56.2,38.2,7.4,0.0,22.2,18.5,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.4,37.4,38.2,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636116.229,250955.38,748800,748800,748800,748800,748800,748800,1017600,1017600,55.2,43.8,0.0,0.0,37.9,35.7,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.4,37.4,38.2,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636116.505,250955.65,556800,556800,556800,556800,556800,556800,1017600,1017600,48.4,38.9,0.0,0.0,23.3,24.1,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.4,37.0,38.2,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636116.763,250955.93,1152000,1152000,1152000,1152000,1152000,1152000,1017600,1017600,48.0,25.9,0.0,0.0,40.0,40.7,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.4,37.4,38.6,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636117.057,250956.18,556800,556800,556800,556800,556800,556800,1017600,1017600,45.2,40.0,0.0,3.7,11.5,11.1,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.4,37.4,39.0,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636117.721,250956.48,556800,556800,556800,556800,556800,556800,1017600,1017600,53.3,42.9,0.0,10.0,14.3,38.7,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.4,37.0,38.6,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636117.723,250956.74,556800,556800,556800,556800,556800,556800,1017600,1017600,46.4,40.6,3.7,3.7,25.9,11.5,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.4,37.0,38.6,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636117.843,250957.01,748800,748800,748800,748800,748800,748800,1017600,1017600,50.0,34.5,25.0,3.7,25.0,40.7,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.4,37.0,39.0,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
1786636118.120,250957.26,556800,556800,556800,556800,556800,556800,1017600,1017600,48.1,45.7,3.8,12.0,8.3,15.4,0.0,0.0,2918400,2918400,2918400,2918400,2918400,2918400,3283200,3283200,556800,2918400,1017600,3283200,7311,30423,pool-5-thread-1,5,26,38,18195,0,NA,31037,/top-app,0-7,/top-app,0-7,0,466,0,466,37.4,37.0,37.4,38.2,30,37.0,34.5,0.3,0,NONE,0,0,0,0,0,2147483647,2147483647,game_pid=-1 child_num=0 ui_assist_num=0,0,0
