t_ms,uclamp_max,psr,p0max,p6max,node6,cur_freq,j,shell
30,1024,1,2918400,3283200,3283200,2400000,44000,35500
390,1024,7,2918400,3283200,3283200,3283200,66000,35500
720,1024,7,2918400,3283200,3283200,3283200,67500,35500
1050,1024,7,2918400,3283200,3283200,3283200,68700,35500
1400,1024,7,2918400,3283200,3283200,3283200,69500,35500
1730,1024,7,2918400,3283200,3283200,3283200,69900,35500
2040,1024,7,2918400,3283200,3283200,3283200,70200,35500
2370,1024,7,2918400,3283200,3283200,3283200,70200,35500
2700,1024,7,2918400,3283200,3283200,3283200,70600,35500
3010,1024,7,2918400,3283200,3283200,3283200,71400,35500
3340,1024,7,2918400,3283200,3283200,3283200,71000,35500
3680,1024,7,2918400,3283200,3283200,3283200,71400,35500
3980,1024,7,2918400,3283200,3283200,3283200,71800,35500
4300,1024,7,2918400,3283200,3283200,3283200,71400,35500
4630,1024,7,2918400,3283200,3283200,3283200,72200,35500
4950,1024,7,2918400,3283200,3283200,3283200,72200,35500
5260,466,6,2918400,3283200,3283200,2649600,57900,35500
5630,466,6,2918400,3283200,3283200,2649600,56000,35500
5970,466,6,2918400,3283200,3283200,2649600,55600,35500
6310,466,6,2918400,3283200,3283200,2649600,54800,35500
6650,466,6,2918400,3283200,3283200,2649600,54400,35500
7020,466,6,2918400,3283200,3283200,2649600,54800,35500
7390,466,6,2918400,3283200,3283200,2649600,54400,35500
7730,466,6,2918400,3283200,3283200,2649600,54800,35500
8070,466,6,2918400,3283200,3283200,2649600,54800,35500
8430,466,6,2918400,3283200,3283200,2649600,54800,35500
8770,466,6,2918400,3283200,3283200,2649600,54400,35500
9120,466,6,2918400,3283200,3283200,2649600,54800,35500
9480,466,6,2918400,3283200,3283200,2649600,54400,35500
9850,466,6,2918400,3283200,3283200,2649600,54400,35500
10200,466,6,2918400,3283200,3283200,2649600,54400,35500
10550,466,6,2918400,3283200,3283200,2649600,54000,35500
10900,466,6,2918400,3283200,3283200,2649600,54400,35500
11230,466,6,2918400,3283200,3283200,2649600,54800,35500
11570,466,6,2918400,3283200,3283200,2649600,54800,35500
11910,466,6,2918400,3283200,3283200,2649600,54400,35500
12270,466,6,2918400,3283200,3283200,2649600,54400,35500
12610,466,6,2918400,3283200,3283200,2649600,54400,35500
12960,466,6,2918400,3283200,3283200,2649600,54400,35500
13290,466,6,2918400,3283200,3283200,2649600,54400,35500
13630,466,6,2918400,3283200,3283200,2649600,54800,35500
13970,466,6,2918400,3283200,3283200,2649600,55200,35500
14310,466,6,2918400,3283200,3283200,2649600,54400,35500
14650,466,6,2918400,3283200,3283200,2649600,54400,35500
14990,466,6,2918400,3283200,3283200,2649600,54400,35500
