# extreme ceiling now: EXTREME_P6=3801600
# gate: EXTREME_GATE=95000
ts|state|p6cur|p7cur|p0cur|p6max|junc|cooling
1787163772|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|29700|no
1787163773|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29700|no
1787163773|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|30100|no
1787163774|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|29700|no
1787163774|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|30100|no
1787163775|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29700|no
1787163775|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|29700|no
1787163776|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|29700|no
1787163777|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163777|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29700|no
1787163778|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29700|no
1787163778|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|29700|no
1787163779|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|30100|no
1787163779|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29700|no
1787163780|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29700|no
1787163781|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29700|no
1787163781|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|30500|no
1787163782|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|30100|no
1787163782|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|29700|no
1787163783|level=2 held=yes cfb=0 prime|1017600|1017600|1555200|3801600|29700|no
1787163783|level=2 held=yes cfb=0 prime|1017600|1017600|1363200|3801600|29700|no
1787163784|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29700|no
1787163785|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29700|no
1787163785|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29700|no
1787163786|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29700|no
1787163786|level=2 held=yes cfb=0 prime|1017600|1017600|1996800|3801600|29700|no
1787163787|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29300|no
1787163787|level=2 held=yes cfb=0 prime|1017600|1017600|1785600|3801600|29700|no
1787163788|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29700|no
1787163789|level=2 held=yes cfb=0 prime|1017600|1017600|2745600|3801600|29700|no
1787163789|level=2 held=yes cfb=0 prime|1017600|1017600|2227200|3801600|29700|no
1787163790|level=2 held=yes cfb=0 prime|1017600|1017600|2400000|3801600|29700|no
