run_id,block,arm,cycle_id,requested_min,effective_min,pred_demand,start_cpu,candidate_mask,misfit,selected_cpu,first_run_cpu,wake_latency_us,initial_junction_c,peak_junction_c
s2b-r01,1,A,s2b-r01-64,0,0,111,0,2,0,1,1,102.0,44.8,50.5
s2b-r01,1,A,s2b-r01-65,0,0,78,0,2,0,1,1,21.0,44.8,50.5
s2b-r01,1,A,s2b-r01-66,0,0,97,0,16,0,4,4,33.0,44.8,50.5
s2b-r01,1,A,s2b-r01-67,0,0,78,0,16,0,4,4,35.0,44.8,50.5
s2b-r01,1,A,s2b-r01-68,0,0,5,0,32,0,5,5,78.0,44.8,50.5
s2b-r01,1,A,s2b-r01-69,0,0,44,0,1,0,0,0,50.0,44.8,50.5
s2b-r01,1,A,s2b-r01-70,0,0,62,0,2,0,1,1,16.0,44.8,50.5
s2b-r01,1,A,s2b-r01-71,0,0,153,0,2,0,1,1,22.0,44.8,50.5
s2b-r01,1,A,s2b-r01-72,0,0,63,0,32,0,5,5,79.0,44.8,50.5
s2b-r01,1,A,s2b-r01-73,0,0,118,0,16,0,4,4,17.0,44.8,50.5
s2b-r01,1,A,s2b-r01-74,0,0,132,0,16,0,4,4,31.0,44.8,50.5
s2b-r01,1,A,s2b-r01-75,0,0,118,0,32,0,4,5,198.0,44.8,50.5
s2b-r01,1,A,s2b-r01-76,0,0,106,0,8,0,3,3,37.0,44.8,50.5
s2b-r01,1,A,s2b-r01-77,0,0,113,0,4,0,2,2,29.0,44.8,50.5
s2b-r01,1,A,s2b-r01-78,0,0,151,0,4,0,2,2,63.0,44.8,50.5
s2b-r01,1,A,s2b-r01-79,0,0,145,0,4,0,2,2,65.0,44.8,50.5
s2b-r01,1,A,s2b-r01-80,0,0,97,0,1,0,0,0,177.0,44.8,50.5
s2b-r01,1,A,s2b-r01-81,0,0,55,0,16,0,4,4,78.0,44.8,50.5
s2b-r01,1,A,s2b-r01-82,0,0,88,0,16,0,4,4,107.0,44.8,50.5
s2b-r01,1,A,s2b-r01-83,0,0,122,0,16,0,4,4,105.0,44.8,50.5
s2b-r01,1,A,s2b-r01-84,0,0,56,0,16,0,4,4,104.0,44.8,50.5
s2b-r01,1,A,s2b-r01-85,0,0,123,0,32,0,5,5,20.0,44.8,50.5
s2b-r01,1,A,s2b-r01-86,0,0,146,0,32,0,5,5,52.0,44.8,50.5
s2b-r01,1,A,s2b-r01-87,0,0,83,0,32,0,5,5,49.0,44.8,50.5
s2b-r01,1,A,s2b-r01-88,0,0,83,0,16,0,5,0,386.0,44.8,50.5
s2b-r01,1,A,s2b-r01-89,0,0,177,0,16,0,4,4,44.0,44.8,50.5
s2b-r01,1,A,s2b-r01-90,0,0,149,0,16,0,4,4,62.0,44.8,50.5
s2b-r01,1,A,s2b-r01-91,0,0,17,0,16,0,4,4,79.0,44.8,50.5
s2b-r01,1,A,s2b-r01-92,0,0,34,0,32,0,5,5,55.0,44.8,50.5
s2b-r01,1,A,s2b-r01-93,0,0,73,0,16,0,4,4,73.0,44.8,50.5
s2b-r01,1,A,s2b-r01-94,0,0,89,0,16,0,4,4,85.0,44.8,50.5
s2b-r01,1,A,s2b-r01-95,0,0,115,0,16,0,4,4,52.0,44.8,50.5
s2b-r01,1,A,s2b-r01-96,0,0,34,0,16,0,4,4,321.0,44.8,50.5
s2b-r01,1,A,s2b-r01-97,0,0,12,0,32,0,5,5,36.0,44.8,50.5
s2b-r01,1,A,s2b-r01-98,0,0,157,0,32,0,5,5,21.0,44.8,50.5
s2b-r01,1,A,s2b-r01-99,0,0,157,0,16,0,5,2,121.0,44.8,50.5
s2b-r01,1,A,s2b-r01-100,0,0,157,0,4,0,2,2,65.0,44.8,50.5
s2b-r01,1,A,s2b-r01-101,0,0,27,0,2,0,1,1,34.0,44.8,50.5
s2b-r01,1,A,s2b-r01-102,0,0,149,0,2,0,1,1,106.0,44.8,50.5
s2b-r01,1,A,s2b-r01-103,0,0,56,0,16,0,4,4,81.0,44.8,50.5
s2b-r01,1,A,s2b-r01-104,0,0,94,0,16,0,4,4,26.0,44.8,50.5
s2b-r01,1,A,s2b-r01-105,0,0,148,0,16,0,4,4,83.0,44.8,50.5
s2b-r01,1,A,s2b-r01-106,0,0,94,0,16,0,4,4,101.0,44.8,50.5
s2b-r01,1,A,s2b-r01-107,0,0,78,0,2,0,1,1,100.0,44.8,50.5
s2b-r01,1,A,s2b-r01-108,0,0,78,0,1,0,0,0,73.0,44.8,50.5
s2b-r01,1,A,s2b-r01-109,0,0,58,0,16,0,1,1,83.0,44.8,50.5
s2b-r01,1,A,s2b-r01-110,0,0,74,0,16,0,4,4,24.0,44.8,50.5
s2b-r01,1,A,s2b-r01-111,0,0,152,0,1,0,0,0,31.0,44.8,50.5
s2b-r01,1,A,s2b-r01-112,0,0,128,0,32,0,5,5,137.0,44.8,50.5
s2b-r01,1,A,s2b-r01-113,0,0,153,0,32,0,5,5,27.0,44.8,50.5
s2b-r01,1,A,s2b-r01-114,0,0,138,0,1,0,0,0,63.0,44.8,50.5
s2b-r01,1,A,s2b-r01-115,0,0,125,0,1,0,5,4,274.0,44.8,50.5
s2b-r01,1,A,s2b-r01-116,0,0,125,0,16,0,4,4,108.0,44.8,50.5
s2b-r01,1,A,s2b-r01-117,0,0,125,0,16,0,4,4,62.0,44.8,50.5
s2b-r01,1,A,s2b-r01-118,0,0,125,0,16,0,4,4,85.0,44.8,50.5
s2b-r01,1,A,s2b-r01-119,0,0,80,0,32,0,5,5,50.0,44.8,50.5
s2b-r01,1,A,s2b-r01-120,0,0,80,0,16,0,4,4,30.0,44.8,50.5
s2b-r01,1,A,s2b-r01-121,0,0,155,0,1,0,0,0,45.0,44.8,50.5
s2b-r01,1,A,s2b-r01-122,0,0,121,0,32,0,5,5,104.0,44.8,50.5
s2b-r01,1,A,s2b-r01-123,0,0,121,0,32,0,5,5,102.0,44.8,50.5
s2b-r01,1,A,s2b-r01-124,0,0,121,0,16,0,4,4,24.0,44.8,50.5
s2b-r01,1,A,s2b-r01-125,0,0,147,0,16,0,4,4,25.0,44.8,50.5
s2b-r01,1,A,s2b-r01-126,0,0,90,0,32,0,5,5,48.0,44.8,50.5
s2b-r01,1,A,s2b-r01-127,0,0,75,0,1,0,0,0,82.0,44.8,50.5
s2b-r01,1,A,s2b-r01-128,0,0,105,0,32,0,5,5,78.0,44.8,50.5
